device1,device2,bw_mbps,rtt_ms
coordinator,rpi-1,50.0,3.5
coordinator,rpi-2,45.0,3.5
coordinator,rpi-3,55.0,3.5
coordinator,rpi-4,40.0,3.5
rpi-1,coordinator,50.0,3.5
rpi-1,rpi-2,21.5,10.5
rpi-1,rpi-3,23.8,9.8
rpi-1,rpi-4,19.4,11.2
rpi-2,coordinator,45.0,3.5
rpi-2,rpi-1,21.5,10.5
rpi-2,rpi-3,22.1,10.2
rpi-2,rpi-4,18.8,11.8
rpi-3,coordinator,55.0,3.5
rpi-3,rpi-1,23.8,9.8
rpi-3,rpi-2,22.1,10.2
rpi-3,rpi-4,20.5,10.9
rpi-4,coordinator,40.0,3.5
rpi-4,rpi-1,19.4,11.2
rpi-4,rpi-2,18.8,11.8
rpi-4,rpi-3,20.5,10.9
