device,op,type_a,type_b,m,n,k,runs,us_per_run,gflops,eff_GBps,bytes_per_weight
rpi1,MUL_MAT,bf16,f32,4096,1,14336,69,62815.46,1.87,1.871,2.0
rpi1,MUL_MAT,bf16,f32,4096,2,14336,35,124362.4,1.89,0.946,2.0
rpi1,MUL_MAT,bf16,f32,4096,3,14336,23,189354.65,1.86,0.621,2.0
rpi1,MUL_MAT,bf16,f32,4096,4,14336,18,256617.78,1.83,0.459,2.0
rpi1,MUL_MAT,bf16,f32,4096,5,14336,14,328417.43,1.79,0.359,2.0
rpi1,MUL_MAT,bf16,f32,4096,8,14336,9,544890.89,1.72,0.217,2.0
rpi1,MUL_MAT,bf16,f32,4096,512,14336,1,50709200.0,1.19,0.003,2.0
rpi1,MUL_MAT,f16,f32,4096,1,14336,69,33908.04,3.46,3.466,2.0
rpi1,MUL_MAT,f16,f32,4096,2,14336,35,37346.37,6.29,3.149,2.0
rpi1,MUL_MAT,f16,f32,4096,3,14336,23,43658.78,8.07,2.695,2.0
rpi1,MUL_MAT,f16,f32,4096,4,14336,36,48121.69,9.76,2.447,2.0
rpi1,MUL_MAT,f16,f32,4096,5,14336,14,72468.43,8.1,1.626,2.0
rpi1,MUL_MAT,f16,f32,4096,8,14336,18,88804.67,10.58,1.329,2.0
rpi1,MUL_MAT,f16,f32,4096,512,14336,1,10729697.0,5.6,0.014,2.0
rpi1,MUL_MAT,f32,f32,4096,1,14336,69,66572.36,1.76,3.529,4.0
rpi1,MUL_MAT,f32,f32,4096,2,14336,35,137489.54,1.71,1.709,4.0
rpi1,MUL_MAT,f32,f32,4096,3,14336,23,206232.61,1.71,1.14,4.0
rpi1,MUL_MAT,f32,f32,4096,4,14336,18,84685.33,5.55,2.777,4.0
rpi1,MUL_MAT,f32,f32,4096,5,14336,14,127574.64,4.6,1.844,4.0
rpi1,MUL_MAT,f32,f32,4096,8,14336,9,183339.0,5.12,1.284,4.0
rpi1,MUL_MAT,f32,f32,4096,512,14336,1,13420324.0,4.48,0.02,4.0
rpi1,MUL_MAT,iq1_m,f32,4096,1,14336,69,18006.72,6.52,0.717,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,2,14336,35,33789.91,6.95,0.385,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,3,14336,23,50316.09,7.0,0.26,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,4,14336,18,67024.94,7.01,0.196,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,5,14336,14,83427.57,7.04,0.158,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,8,14336,9,131569.89,7.14,0.102,0.2188
rpi1,MUL_MAT,iq1_m,f32,4096,512,14336,1,11209246.0,5.36,0.005,0.2188
rpi1,MUL_MAT,iq1_s,f32,4096,1,14336,69,14605.1,8.04,0.79,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,2,14336,35,29839.57,7.87,0.389,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,3,14336,46,41223.43,8.55,0.284,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,4,14336,18,59017.56,7.96,0.199,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,5,14336,28,67876.89,8.65,0.174,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,8,14336,18,111817.94,8.4,0.108,0.1953
rpi1,MUL_MAT,iq1_s,f32,4096,512,14336,1,9085128.0,6.62,0.005,0.1953
rpi1,MUL_MAT,iq2_s,f32,4096,1,14336,138,11833.19,9.92,1.596,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,2,14336,70,23153.19,10.14,0.819,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,3,14336,46,35034.3,10.06,0.543,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,4,14336,36,46048.47,10.2,0.415,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,5,14336,28,57840.93,10.15,0.332,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,8,14336,18,97795.44,9.61,0.198,0.3203
rpi1,MUL_MAT,iq2_s,f32,4096,512,14336,1,8878724.0,6.77,0.006,0.3203
rpi1,MUL_MAT,iq2_xs,f32,4096,1,14336,138,9982.58,11.76,1.708,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,2,14336,70,21272.3,11.04,0.805,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,3,14336,46,31267.09,11.27,0.55,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,4,14336,36,40036.39,11.73,0.431,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,5,14336,28,52320.96,11.22,0.331,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,8,14336,18,83684.39,11.23,0.21,0.2891
rpi1,MUL_MAT,iq2_xs,f32,4096,512,14336,1,6951810.0,8.65,0.008,0.2891
rpi1,MUL_MAT,iq2_xxs,f32,4096,1,14336,138,9220.38,12.74,1.65,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,2,14336,70,17930.7,13.1,0.853,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,3,14336,46,27004.24,13.05,0.569,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,4,14336,36,35942.97,13.07,0.429,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,5,14336,28,44751.75,13.12,0.347,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,8,14336,18,72804.44,12.9,0.216,0.2578
rpi1,MUL_MAT,iq2_xxs,f32,4096,512,14336,1,6719877.0,8.95,0.008,0.2578
rpi1,MUL_MAT,iq3_s,f32,4096,1,14336,69,15269.97,7.69,1.657,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,2,14336,35,30480.11,7.71,0.833,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,3,14336,23,48883.26,7.21,0.521,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,4,14336,18,60236.89,7.8,0.424,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,5,14336,14,80384.0,7.3,0.318,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,8,14336,9,119439.67,7.87,0.216,0.4297
rpi1,MUL_MAT,iq3_s,f32,4096,512,14336,1,11139829.0,5.4,0.006,0.4297
rpi1,MUL_MAT,iq3_xxs,f32,4096,1,14336,138,12109.82,9.7,1.862,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,2,14336,70,23837.3,9.85,0.949,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,3,14336,46,35404.26,9.95,0.641,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,4,14336,36,48189.44,9.75,0.473,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,5,14336,28,59168.75,9.92,0.386,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,8,14336,18,99110.0,9.48,0.233,0.3828
rpi1,MUL_MAT,iq3_xxs,f32,4096,512,14336,1,8491587.0,7.08,0.007,0.3828
rpi1,MUL_MAT,iq4_nl,f32,4096,1,14336,138,9494.91,12.37,3.486,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,2,14336,70,17371.04,13.52,1.91,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,3,14336,46,24071.04,14.64,1.381,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,4,14336,36,30976.72,15.17,1.076,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,5,14336,28,38469.32,15.26,0.868,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,8,14336,18,62297.89,15.08,0.54,0.5625
rpi1,MUL_MAT,iq4_nl,f32,4096,512,14336,1,5008401.0,12.01,0.014,0.5625
rpi1,MUL_MAT,iq4_xs,f32,4096,1,14336,138,8872.64,13.24,3.524,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,2,14336,70,15580.03,15.08,2.012,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,3,14336,46,24692.57,14.27,1.272,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,4,14336,36,29929.69,15.7,1.052,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,5,14336,28,36995.89,15.87,0.853,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,8,14336,18,57962.56,16.21,0.548,0.5312
rpi1,MUL_MAT,iq4_xs,f32,4096,512,14336,1,5654977.0,10.63,0.012,0.5312
rpi1,MUL_MAT,q2_K,f32,4096,1,14336,207,6815.87,17.23,2.838,0.3281
rpi1,MUL_MAT,q2_K,f32,4096,2,14336,105,13674.26,17.18,1.42,0.3281
rpi1,MUL_MAT,q2_K,f32,4096,3,14336,69,18933.0,18.61,1.029,0.3281
