n_devices,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,tensor_split,use_mmap,embeddings,n_prompt,n_gen,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
1,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","32","0","2026-06-03T23:22:28Z","4256517976","0","7.517882","0.000000"
1,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","128","0","2026-06-03T23:22:37Z","17062303030","0","7.501918","0.000000"
1,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","0","32","2026-06-03T23:23:12Z","7812377448","0","4.096064","0.000000"
1,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","0","64","2026-06-03T23:23:20Z","15610616199","0","4.099774","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","32","0","2026-06-03T23:25:33Z","6705372574","0","4.772293","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","128","0","2026-06-03T23:25:44Z","17480720035","0","7.322353","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","0","32","2026-06-03T23:26:19Z","8134696307","0","3.933767","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","0","64","2026-06-03T23:26:27Z","16375210986","0","3.908347","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","32","0","2026-06-03T23:26:44Z","4842508830","0","6.608145","0.000000"
2,"7f78f9c4","4864","CPU","","RPC","/home/pi/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","1.00","1","0","128","0","2026-06-03T23:26:53Z","22613145493","0","5.660424","0.000000"
